timestamp_ms,right_elbow_angle,left_elbow_angle,fsm_state,right_elbow_angle_smooth,left_elbow_angle_smooth
0,155.74087580479022,151.44493022785662,RESTING,155.46269722080373,150.56247049690978
33,156.5762229652614,151.05272292529435,RESTING,156.33801877500767,150.98544143159427
66,156.457744096668,148.94312566544662,RESTING,157.5201998793325,152.0215969448631
100,158.30189687508738,153.9645810085966,RESTING,158.88629485317037,153.46722897396182
133,161.2636076975432,156.27250491486814,RESTING,160.31335801591354,155.11862945613595
166,162.5497222439184,159.14428835392582,RESTING,161.6784436869545,156.77209032863135
200,162.57185843429687,157.73951143780218,RESTING,162.72267908304912,158.13946264520172
233,163.72098263722012,157.84869718020641,RESTING,163.54016026741476,159.00486171221579
266,163.88381856666388,159.46896794250276,RESTING,163.83148833739162,158.90266641090122
300,163.4208788656986,158.94444206760974,RESTING,163.8806882714739,158.8032108803033
333,163.80449789227836,158.57859990698634,RESTING,163.8515185338365,158.7038486678406
366,164.00544388933733,158.56538820536426,RESTING,163.8250502323325,158.9544926841161
400,163.8325269441124,159.25969035168654,RESTING,163.78527987765568,159.28356655208967
433,163.8127928501703,159.34328460865407,RESTING,163.8329623272266,159.7250695978251
466,163.11529663483148,159.90523127206288,RESTING,163.75665803330855,160.2143972408099
500,163.70606470416536,160.51952724457055,RESTING,163.595459938111,160.31523697130496
533,163.84413840099754,161.67411346348646,RESTING,163.32297304386972,160.50030447608094
566,162.79414705122693,160.70345950244877,RESTING,162.74447158031154,160.6174099267828
600,161.7601877951301,158.70215865680882,RESTING,162.195155127884,160.2503016787876
633,161.47337724983228,158.16261215578123,RESTING,161.35849749244065,158.8516780031187
666,159.6190487801254,159.41487023616625,RESTING,159.8279961170642,156.83815473034207
700,157.73496613586838,156.41618881628426,RESTING,157.88645509472687,154.730572194787
733,157.10321483474172,151.5828996773107,RESTING,155.24395692124978,152.98318530517662
766,152.79107050756917,148.03358428150233,RESTING,152.48458418606913,151.0118093176191
800,148.85296982315174,148.21908432402074,RESTING,149.73557389080872,148.78872295279646
833,146.15460695347872,148.15025289407907,ACTIVE,147.38599616530723,146.51106454764383
866,142.8657924493061,146.02571050083966,ACTIVE,144.464716411666,143.98464143132492
900,143.55446655701002,141.57243674309905,ACTIVE,142.34232281040056,142.20519232181596
933,141.17876559750164,139.25270052209058,ACTIVE,140.92013002502802,139.72078257541915
966,138.09792531451086,135.5896224155164,ACTIVE,138.02193294117077,135.8889864032849
1000,132.55564328536087,131.03853927715684,ACTIVE,134.07197357806902,132.2533498415467
1033,133.75085735141732,133.08798311983173,ACTIVE,128.70498468573777,129.09681711475656
1066,124.71664538305775,124.8834011957164,ACTIVE,122.23508551963168,127.14170476383313
1100,112.51507689831611,120.98657071590223,ACTIVE,116.58008743791353,124.50000534268702
1133,109.72253674244456,123.1522120312348,ACTIVE,111.39988448706856,122.24348819614906
1166,103.92904759547515,121.16225899831608,ACTIVE,106.83138020018347,119.52704695254718
1200,103.23326880783303,119.91664214479651,ACTIVE,102.73615462329607,116.12223660787939
1233,104.03880476948623,110.70152412983917,ACTIVE,100.550253501307,113.4751411094716
1266,99.03600595304398,110.58643893326919,ACTIVE,98.88668517593449,109.86682975967035
1300,96.11529241439491,104.7203288067384,ACTIVE,96.6200095661637,106.04714293535741
1333,94.20659666189391,102.61557117742133,ACTIVE,94.54057190195729,103.12321695819588
1366,92.29456107393149,101.33592454064086,ACTIVE,92.22138321026134,100.88060157314158
1400,90.09563307692878,98.85110989285396,ACTIVE,90.44484900919099,99.8925464376261
1433,89.16030588031052,99.77541364795758,ACTIVE,89.5987765557689,98.83282726996045
1466,88.2756201480894,98.50495173447962,ACTIVE,88.72898210545323,98.55551386459848
1500,88.4968805226049,97.71611647511384,ACTIVE,87.79788218242092,98.17709221403535
1533,88.1883654936215,98.14743017026144,ACTIVE,86.98351632966254,97.73401938741634
1566,86.49196898598547,97.6407886984725,ACTIVE,86.37284249450065,97.23021272416145
1600,84.9648415311648,96.30386771904577,ACTIVE,85.84273046769552,96.31879801145188
1633,84.32211579469852,95.67032074154508,ACTIVE,85.2062376606913,95.40798247044307
1666,84.85239346325277,94.02762523450258,ACTIVE,84.70549545980968,94.21302669722783
1700,85.29571755549473,92.95675529576475,ACTIVE,84.69797775362338,92.91684584073863
1733,84.93083235110774,91.75625214267075,ACTIVE,84.7669308585047,91.98216415866628
1766,83.87489976311512,90.51483881830715,ACTIVE,84.64002365252566,90.93670900854198
1800,84.99607951647911,89.64923241240298,ACTIVE,84.17974688167445,89.80572852810857
1833,84.80054156949528,89.53139531196523,ACTIVE,83.8004162962203,88.8759608270636
1866,82.45565031542787,88.8229066863036,ACTIVE,83.38401569822597,87.75761996433445
1900,82.17160273509126,85.8673106307244,ACTIVE,83.0443280853091,86.69517743110313
1933,82.39059739982132,85.72328982513172,ACTIVE,82.64629126116319,85.94541410744168
1966,83.55824673897037,85.4959822748362,ACTIVE,82.0987234614202,85.40772650592342
2000,81.86572249658485,84.24208223627429,ACTIVE,81.83545901277097,85.15526719523908
2033,81.65923833520613,85.37313918940964,ACTIVE,81.93892865454836,85.37774869951147
2066,81.25871286140281,86.6587127254527,ACTIVE,81.97155197430443,85.99988032291
2100,81.61148203141374,86.63410580309558,ACTIVE,81.87785931760637,86.47551095912348
2133,82.20755082120309,87.25606776314001,ACTIVE,81.89491342878617,87.10045957759945
2166,82.89759953963198,87.91508147667331,ACTIVE,81.9176545421253,87.9011858690298
2200,82.62704458616219,88.36962977980838,ACTIVE,82.24825666203454,88.56028514335033
2233,82.02956480780128,89.06548894921725,ACTIVE,82.84770782405249,89.4375845014479
2266,82.9255212614932,90.50278161201442,ACTIVE,83.64914355696897,90.39317286223789
2300,82.99349798610632,91.91467464814107,ACTIVE,84.38900544775498,91.14769597199276
2333,86.9823812500635,93.01792388911451,ACTIVE,84.52915214464979,91.96182279708806
2366,87.06736185424472,94.55739736480525,ACTIVE,85.68470359313551,94.43589836547292
2400,87.47274485975109,95.40849994385003,ACTIVE,87.65553279275365,97.50560333959963
2433,86.87344647359403,98.5581588994343,ACTIVE,89.32925462120426,101.55090576341088
2466,88.23189040290302,105.19559225597354,ACTIVE,91.40625634368318,106.25083175026197
2500,97.39354383368226,115.30806369792006,ACTIVE,93.10742971221836,110.84738360961978
2533,98.23521140059546,115.0510232048393,ACTIVE,95.91859502460676,114.40686825935182
2566,97.11320747134512,120.03664252578533,ACTIVE,98.75421751678229,117.00460752624008
2600,102.26927829209846,120.61926434240314,ACTIVE,102.4552032563461,120.6009743575181
2633,104.19651391386358,120.0893013137021,ACTIVE,106.65817840907846,124.17238850624534
2666,111.71977510952472,121.69565984250382,ACTIVE,111.23812636385415,127.1684715120974
2700,115.066394685917,129.9870664547315,ACTIVE,117.26318255654105,130.73332203723825
2733,124.88667519579315,142.5673060652838,ACTIVE,123.3896399706594,133.6873987016782
2766,130.12373746615222,138.28208419752,ACTIVE,128.34829985141667,136.10756767059942
2800,133.9242978572738,134.84886657382083,ACTIVE,132.52428254957508,137.2686897857393
2833,135.98451306273984,136.276677463341,ACTIVE,135.1541154003095,137.0925918352731
2866,136.99922794767053,136.5430361629528,ACTIVE,137.6587310569339,136.26870007274488
2900,137.54102651821682,134.61171705877237,ACTIVE,138.9715529285031,136.1698125098559
2933,139.4390652565184,136.23983522749782,ACTIVE,140.51487761373127,138.71591839654332
2966,142.04575700647015,140.9828300883228,ACTIVE,141.67479998411875,141.43118052829414
3000,146.39947443273113,146.32483458106205,ACTIVE,143.51642913038563,144.07319271716136
3033,145.8387760647028,148.91540426299366,ACTIVE,146.59252752134685,147.1572778755667
3066,148.5902420336209,150.89604716596165,ACTIVE,150.2367157296411,150.38164921514982
3100,150.76098954736273,150.72339370359558,ACTIVE,154.41262356090203,152.78069035308732
3133,159.79439923092673,154.11278268501957,ACTIVE,158.8960022346045,154.47516318200132
3166,166.06436082806056,156.77847297798382,ACTIVE,163.57638143066814,156.0920394440249
3200,167.80575488713595,158.32666321655856,RESTING,168.1411108224941,157.5806231911272
3233,171.81415829274258,158.95692532841122,RESTING,170.96918944493598,159.49130283177178
3266,173.0639403456547,160.68263191421013,RESTING,172.3372340355743,161.05484304024387
3300,173.28395512431266,162.41067468984875,RESTING,172.54680740798585,162.37759069347644
3333,170.44628201767827,162.39881076888878,RESTING,171.59877778567082,163.39600167402887
3366,167.50852840897267,165.78446998949443,RESTING,169.49401339212997,164.04653186446097
3400,167.7648038827835,163.58479463052393,RESTING,166.23338245086404,164.26563714733263
