timestamp_ms,right_elbow_angle,fsm_state,right_elbow_angle_smooth
0,171.63174726520685,STANDING,171.10178912030443
33,169.92526605524554,STANDING,171.18432250078402
66,172.0700847079627,STANDING,171.36594904364551
100,171.63296469249318,STANDING,171.61631714902083
133,172.09245997698758,STANDING,171.90507521704185
166,172.01447356210616,STANDING,172.2018716478409
200,172.49832423771485,STANDING,172.55954227749856
233,172.88808408569858,STANDING,172.55547794911286
266,172.61115404215172,STANDING,172.7391139213516
300,172.75143121769798,STANDING,172.7494094804386
333,172.87737024300563,STANDING,172.77652612027973
366,172.80006573512335,STANDING,172.68348916739217
400,172.85638341152335,STANDING,172.8206379582278
433,172.7652120219953,STANDING,173.07635569933666
466,173.39430101413672,STANDING,173.56240079470408
500,173.8277689482677,STANDING,174.3757588574872
533,175.41710320441268,STANDING,175.34925062402743
566,175.615588425646,STANDING,176.01223179857385
600,177.08288396696722,STANDING,176.73725825043368
633,177.20509373495764,STANDING,176.60123144955287
666,175.71369285876457,STANDING,176.30248347387663
700,173.29120066289354,STANDING,174.17130384298645
733,172.33988937749388,STANDING,170.9648053503302
766,165.84305158605827,STANDING,166.17958926565635
800,162.08211591466244,STANDING,160.18143940258108
833,148.9024109659308,STANDING,150.1460379585701
866,142.7543533141493,DESCENDING,138.96890224664477
900,130.40668923971626,DESCENDING,127.62738056164127
933,116.60865829700732,DESCENDING,117.83737997955637
966,97.27270429018408,DESCENDING,108.9750599621025
1000,103.06328120223041,DESCENDING,101.93737142596277
1033,99.89846635934492,DESCENDING,96.00096227210585
1066,96.67944795727799,DESCENDING,92.49057058879461
1100,89.39342320576174,DESCENDING,90.48140348361221
1133,85.97950563655293,DESCENDING,89.14280639265607
1166,85.83556207640443,DESCENDING,86.18700845972079
1200,85.71681926332576,DESCENDING,84.78404582608056
1233,84.82053629147414,DESCENDING,84.29285710857584
1266,84.60401449496909,DESCENDING,84.52697808107749
1300,84.1476023497689,DESCENDING,84.49507588385815
1333,84.19449265221,DESCENDING,83.96723912588358
1366,84.14283911157412,DESCENDING,83.45338032125886
1400,83.11673807123815,DESCENDING,83.05737985572615
1433,82.43445754278439,DESCENDING,82.63661221105848
1466,81.28169595848226,DESCENDING,82.21142964339361
1500,82.01720560602583,DESCENDING,81.76182684864308
1533,81.95065222265525,DESCENDING,81.4487481515875
1566,81.46744187106017,DESCENDING,81.28343820379001
1600,80.97913548437151,DESCENDING,81.25039086817527
1633,80.91829416503667,DESCENDING,80.98151124559769
1666,81.08952189155816,DESCENDING,80.70289535717028
1700,81.02883486694829,DESCENDING,80.63054800318939
1733,81.44332320046922,DESCENDING,81.29709525470619
1766,80.8836027298891,DESCENDING,82.5740886049303
1800,83.77698083230483,DESCENDING,84.53813510051064
1833,85.79191906063738,DESCENDING,86.2201003188091
1866,90.07030471038527,DESCENDING,88.20638963139808
1900,91.39727174939128,DESCENDING,88.89464238872777
1933,92.50327159665406,DESCENDING,92.14071738121835
1966,90.5694648550243,DESCENDING,94.05162827110621
2000,94.90061568775326,DESCENDING,95.57407618672747
2033,95.47049393097876,DESCENDING,96.90841287471082
2066,111.68647173658735,DESCENDING,100.64512829941411
2100,99.32028734103454,DESCENDING,106.37143572889087
2133,107.65758108187019,DESCENDING,112.80805677367835
2166,117.88720627911295,DESCENDING,120.29614809815658
2200,134.0827758976856,DESCENDING,128.58104482295937
2233,139.5373145120522,DESCENDING,136.97484369581042
2266,143.57927398578403,DESCENDING,147.49605448319093
2300,156.01493763916983,DESCENDING,154.3341192280681
2333,159.74771861206233,DESCENDING,159.39213073142844
2366,165.88392785339485,DESCENDING,163.0608873102941
2400,166.98420298357917,STANDING,166.8876701779664
2433,166.26713687398444,STANDING,170.08081634843967
2466,171.06079563017272,STANDING,171.62620452177745
2500,174.01266843446373,STANDING,173.36240805662837
2533,175.90629043282615,STANDING,174.53129816111607
2566,176.84727509940882,STANDING,175.71953638540631
2600,174.37312346821284,STANDING,175.89828664013498
2633,175.28998657001054,STANDING,174.87130727540665
2666,174.28205037458878,STANDING,173.62562746128145
2700,172.69435891871964,STANDING,172.39376674842478
2733,169.87188101220198,STANDING,171.4761972349716
2766,170.53485782928018,STANDING,170.96722799195334
2800,170.65011030268317,STANDING,170.53787646290988
2833,170.79622290255583,STANDING,170.36839162251562
2866,171.13621725246844,STANDING,170.50815943867738
2900,171.04881859854024,STANDING,171.00656587930243
2933,171.53832032300917,STANDING,171.91299691229793
